Text,Quote
Yesterday my oldest daughter had her first high school weight lifting meet of the season.  This event was the result of many of many hours of hard work.  She did very well coming in second place in her weight class.,"Bach is an astronomer, discovering the most marvellous stars. Beethoven challenges the universe. I only try to express the soul and the heart of man."
"Yesterday my children and grand children came over for a cook out. I had not seem them all together for a few weeks so it was great to get them all together. I have a son, daughter and three grandchildren, two boys and a girl.","I must have flowers, always, and always."
"Yesterday I worked out for a good hour or so. I'm really trying to lose weight so working out is becoming the most important part of my day. It was hard, and at times I became really frustrated. In the end I was happy I did it, it just wasn't enjoyable while I was in the process of working out.","I've always been misrepresented. You know, I could dress in a clown costume and laugh with the happy people but they'd still say I'm a dark personality."
Yesterday I worked online most of the day. I discovered an assignment I had done the previous day was rejected. This assignment provided a considerable reward so I basically lost about an hour's worth of work. That was frustrating. We need the money I am making onine right now to pay our bills so I was also concerned about making enough money. However at the end of the day I hit my earnings goal so I was satisfied with my progress.,"It's my life and you know what, nobody invited you… so there's the door… see ya!"
Yesterday I worked on a way for my family to see my private photos on Flickr without registering on the site. I found out that anonymous guests can see the photos but they can't comment. And the comments are the main reason for the photo-sharing! Very frustrating.,"He could only consider me as the living corpse of a would-be suicide, a person dead to shame, an idiot ghost."
"Yesterday I went to my GP to get informed of a cat scan of my hip, which has been bothering me (I'm 73). I was happy to find out that it isn't arthritis, though there is a little in the hip, but a pinched nerve. I was given some exercises I can do to help alleviate my pain. I felt good that it isn't necessarily a degenerative thing.",I'm having too much fun today to worry about tomorrow.
"Yesterday I went to exercise at the gym. I did weight lifting, mainly worked out on bench press. I felt satisfied because I was able to PR on a set.",We will rock you
"Yesterday I went hunting. I had to hike for 4 miles and I was able to stalk a large deer for quite a while. I didn't get anything, but I had a really good time and felt great when I got home.","The Krzyżtopór castle which was built in the 17th century belongs to the most splendid Polish buildings of the defensive and palatial character. The castle was famous for its design which accounted for the principles of the division of time (4 towers, 12 large halls, 52 rooms and 365 windows)."
Yesterday I went for a walk with a friend. About a mile into our walk it starting pouring down rain. We were soaked before we made it back to the car.,"People see me and think I have lots of girlfriends, do I look like I have lots of girlfriends?"
"Yesterday I was sick with a stomach bug. I spent all day in bed and barely eating, and it was overall a pretty miserable day.",It's my life and you know what? Nobody invited you so there's the door.
Yesterday I was reminded of how loved and appreciated I am. I was reminded that the people I care about care about me as well and that I am important to them,"One love, one heart,
Let's get together and feel alright."
"Yesterday I was diagnosed with cancer. I don't know how to feel, right now I just feel empty and possibly in shock. I haven't told anyone yet, but I think I will probably call my parents and sisters today to let them know. I just need time to process this alone right now.","If a man knows more than others, he becomes lonely."
Yesterday I stopped by Subway while my clothes were in the dryer at the laundromat. I ordered a six inch tuna melt with spinach tomato jalapeno and pickles. It was one of the greatest tasting sandwiches I have had in a long time and it was healthy eating.,"Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time."
"Yesterday I made a lot more money on Mturk then I expected, a whole $23!  These last few weeks have been pretty rough, not many HITS are out, probably because almost the holidays","Stories of perfect people who have never failed don't inspire me, in fact, those stories make me bored and sleepy. I'm fascinated and addicted to stories of people who have failed and risen to become the world's best, those are the real heroes. Failing doesn't define you, how you bounce back up is what makes you"
Yesterday I left work and met my family at Target. We had to return some baby pajamas and get different ones. I was just happy to get out of work and spend time with my family. Afterw\ard we went to eat then home and watched a movie. It was a relaxing evening.,Led Zeppelin is the greatest. Robert Plant is one of the most original vocalists of our time. As a rock band they deserve the kind of success they're getting.
"Yesterday I had to go to the dentist and was worried about my oral health. You see, 3 months ago, when I went for my teeth cleaning, the checkup was not so good so I was worried it might be even worse, so I was anxious heading into the appoointment.","All I feel are the assaults of apprehension and terror at the thought that I am the only one who is entirely unlike the rest. It is almost impossible for me to converse with other people. What should I talk about, how should I say it? - I don't know."
"Yesterday I did some research about getting my calendars printed out-- what they will cost, different methods. I think this project is really going to be doable.","Actions can easily reveal the truth about the person, but also remember not to ignore the words."
Yesterday I completed 16 surveys. I was satisfied with work.,The task of the teacher has come to an end and it is the right time for the student to outshine the master.
Yesterday despite feeling sluggish,I wish I could throw off the thoughts which poison my happiness.
"Working for slave wages and getting screwed and exploied every day, seven days a week, is driving me nuts.  I hate it.  Why can there be any decent requestors who pay a living wage?",The problem is that everybody treats teenagers like they're stupid.
Working being able to use my skills and knowledge for the benefit and growth of our company.,Play always as if in the presence of a master.
"Work was very demanindg yesteday it required me to work extyra long in order to finish the project that was under way when I started the week. We as a team were on a tight deadline and in  order to finish we were really all working hard. It was amazing, interesting and so much fun I havent had htis much fun at work ever.","Bach is an astronomer, discovering the most marvellous stars. Beethoven challenges the universe. I only try to express the soul and the heart of man."
"Work was long today. I did a lot of different projects at 2 different stores. It was frustrating some of the time, but the fact that I finished everything gave me a sense of accomplishment.","I used to get upset by people not understanding me, but I’ve made a career out of it now."
Work made me feel like I had a purpose but also frustrated and annoyed because there are so many things going on at once.,"I'm not performing miracles, I'm using up and wasting a lot of paint…"
Work is salient because doing it allows me to earn money so I can pay bills and not starve to death. I felt satisfied with the amount of work I was able to put in to my work project yesterday.,Jewish history is full of suffering and terrible sorrow. But it is also full of immeasurable joy. We honor the suffering through remembrance. We honor the joy through celebration.
Work is rather salient because I spend the majority of my day there. Nothing particularly exciting or interesting really happened there but it was fairly busy as it usually is. Given that we're federal employees who are excepted from the furlough but not being paid to work we spent a lot of our day talking about the shut down and what if anything Trump is doing to attempt to alleviate it.,They got money for wars but they can’t feed the poor. 
"Work is probably the most important and salient thing I do. It's not very exciting and can be very frustrating, but it provides me with an income to pursue other things I care about more. However, since it was just a Wednesday, I didn't really have anything else going on.","Solitude was my only consolation - deep, dark, deathlike solitude."
"Work is important, I like to be busy and have a purpose.  It makes me feel good to have alot to do and important responsibilities.  It boosts my self esteem and makes me feel good.","When the Missionaries arrived, the Africans had the land and the Missionaries had the Bible. They taught how to pray with our eyes closed. When we opened them, they had the land and we had the Bible."
Work dominated my day yesterday. There was a mountain of work so I was somewhat frustrated that many things had to be disregarded in my personal life to finish work.,It's my life and you know what? Nobody invited you so there's the door.
when nothing goes right I know God is there with me. He is there to lift me up. he's always there to talk to and never judges me. I love him and always blessed for the blessing he gives,"We come to love not by finding the perfect person, but by learning to see an imperfect person perfectly."
"What was most salient about my day yesterday, was spending quality time with my children. Together, we raked the leaves outside in the yard and shared laughter and joy.","I must have flowers, always, and always."
Went to visit my mom in the hospital she was just transferred from the ICU to a regular ward and she was alert and talking which was a huge change from a few days ago,"At present I absolutely want to paint a starry sky. It often seems to me that night is still more richly coloured than the day; having hues of the most intense violets, blues and greens. If only you pay attention to it you will see that certain stars are lemon-yellow, others pink or a green, blue and forget-me-not brilliance. And without my expatiating on this theme it is obvious that putting little white dots on the blue-black is not enough to paint a starry sky."
Went grocery shopping with my mom. Got a flu shot while I was there.,A TV evening with the right person can be more erotic than sex with the wrong one. 
we had such a good time it was nice and felt very nice he was very loving,"And so being young and dipped in folly, I fell in love with melancholy."
We had friends surprise us with a visit. We haven't seen them over 2 years. We were all so excited! They are from Hawaii and it is snowing here so we got to play in the snow with them and build a snowman!,"Women are beautiful in the light of the day, but are even more so in the shadows of the night."
"we had a pretty big extracation that i performed well on.  i carried out my duties pretty well, and was self directed at all of it. I felt proud of myself for functioning like I've been there and done that before.","My brain is only a receiver. In the universe there is a core from which we obtain knowledge, strength, inspiration. I have not penetrated into the secrets of this core, but I know that it exists."
was able to meet up with my girlfriend after a week of not seeing her. I was very excited.,"The history of the castle at Wiśnicz Nowy is enlivened by many legends. Many well-known artists visited the castle in centuries past. Till now, many elements of old architecture (towers, chapel) have survived, together with some details of interior design."
Was able to eat some of my favorite food so i was pretty happy and excited and couldnt wait to eat it.,"Reading is the greatest thing ever, I've read alot that I know what very few people know… That the stars in the night sky are suns and that there are earth-like planets orbiting those stars, meaning there are other planets like earth out there… Reading is great"
Waking up rereshed and having a great conversation with my wife.  We talked all day and it never ceased to be insightful and amazing,"Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time."
"Upon picking up my only child from school, she gave me the amazing news, she was chosen to be in Honors quiet. Dad and I are so happy and proud of her. We dont know how we are going to squeeze in Choir rehearsals with her ballet rehearsals but we will figure it out. Dad and i are taking sunday off, so we can go and celebrate her invitation. We are so busy with life, that we need to start to take and make time for each other. i find it curious that this survey came up, when my first thought this morning was, how bless i am to have my family, how quickly time is passing, and how to make time for each other.","But I love your feet
only because they walked
upon the earth and upon
the wind and upon the waters,
until they found me."
"Trying to help my mother-in-law find a home, but it's kind of awkward because I feep like she wants to live with us.","Hey guys, sorry I'm late, I'm afraid I got lost on the path of life."
"Today, I exercised and it honestly felt amazing.  The feeling after a good workout is hard to beat.","(on ""I Don't Get Down Like That"" the Swedish group Play pop song) There comes a day when you realise turning the page is the best feeling in the world, because you realise there is so much more to the book than the page you were stuck on."
Today we had my favorite food in the whole world for dinner!  Pepperoni pizza from Angelo's Pizza Parlour.  It always makes my day when we have pizza!,The noblest art is that of making others happy
Today we had a snow day or shall I be more specific; we had an ice day!  There was a layer of slick ice that coated all outdoor surfaces so my children were home from school.  We induldged in the day and enjoyed eachothers company by playing games and making cookings.  We watched a chinese anime movie before dinner and snuggled on the couch.,"Reading is the greatest thing ever, I've read alot that I know what very few people know… That the stars in the night sky are suns and that there are earth-like planets orbiting those stars, meaning there are other planets like earth out there… Reading is great"
Today was my best earning day today. If I can keep earning like this I can save money for the cruise with my friends.,"To achieve this, we have to distinctively promote continuing and lifelong education, the form of education which is responsive to individual needs and preferences. With educational facilities and a variety of educational programs available, people can make use of the learning centre as a place to acquire technical skills or knowledge adaptive to their work and daily life activities."
today was just a normal day. I worked all day and nothing really happened. During slack times I worked on Mturk. It felt like another day,"I put a lot of mannequins in my room in the past, and I still have mannequins in my room, because I used to be very lonely, painfully lonely. You have no idea. I used to walk the streets looking for people to talk to. I'm talking about the height of one's career…. I would walk up to them, strangers, and say, ""will you be my friend?"" They'd go, ""my god, Michael Jackson!"""
"Today was a very busy day at work.  We had corporate visitors and had to be on our best behavior.  I also had to make a prewsentation about my section to the corporate people.  It went well, and I glad to be done with it.","So, I am free. Fine."
Today was a blessed day as I had God in my heart! It was a good day as it was a day of appreciation for everything I have in this life!,"Life is good, life is great.
Alaways love and never hate.
Break the rules, stand apart.
Ignore your head, and follow your heart."
Today is a memorable day. Ananya performed a hul hoop dance in her school talent show her first ever performance outside home in all of her seven years.,"The history of the castle at Wiśnicz Nowy is enlivened by many legends. Many well-known artists visited the castle in centuries past. Till now, many elements of old architecture (towers, chapel) have survived, together with some details of interior design."
Today I went out to drink with friends. We decided to have unlimited wings contest. Between the 4 of us i came in second. I performed better than last time coming in last. It was a great time. We drank talked and ate.,"My daughter was asked by a little old lady in a London hotel restaurant what her daddy did. She answered, “He’s a pirate” - I was very proud of that answer."
Today I was very sick. It seems everybody I know has a cold and I thought I was above it but no. I had some orange juice and went back to bed. Not a good day.,"Can you imagine how terrible it is when you've got everything and you're still desperately lonely? That is awful beyond words.
I'm so powerful on stage that I seem to have created a monster. When I'm performing I'm an extrovert, yet inside I'm a completely different man."
Today I was able to make $18 on mturk. New record for a day. It took from 6AM till about 8PM. Once I got to $15 I kept going to see how much I could make but the hits dried up.,A TV evening with the right person can be more erotic than sex with the wrong one. 
Today I spent time with a student at work who is volunteering at the hospital.  She is working on her MSW and we discussed her graduations project.,"Pooh, how do you spell love?' 'You don't spell love Piglet, you feel it"
Today I had a good and easy day. Everything in the department was taken care of and no new issues came up.,"Since the tree is useless on its own without the support of the roots, you must help out your fellow friend to keep humanity alive throughout every generation."
Today I feel sad at work. I feel anxious because I have too much to do. I feel so overwhelmed,"All I feel are the assaults of apprehension and terror at the thought that I am the only one who is entirely unlike the rest. It is almost impossible for me to converse with other people. What should I talk about, how should I say it? - I don't know."
"Today at work I had the chance to catalog a $40k book which was a prized possession of my boss. It was just about falling apart but I was able to flip through, translate some German and get it up online for sale. My boss was pleased.","The Krzyżtopór castle which was built in the 17th century belongs to the most splendid Polish buildings of the defensive and palatial character. The castle was famous for its design which accounted for the principles of the division of time (4 towers, 12 large halls, 52 rooms and 365 windows)."
Time spend with my family is always better than anything,I have loved books all my life. There is nothing more beautiful in our material world than the book.
This would be kayaking with my dog.  There is nothing more peaceful than taking the boat out on the water with my best pal and just enjoying the peace and tranquility of the water and the breeze.  It make a horrible day at work just melt away.,"You know it's funny, when it rains it pours
they got money for wars, but can't feed the poor."
This week has been going great. I've established good relationships with all my friends and I feel like I'm at a place where I feel loved and supported by everyone who I know. I'm hanging out with people more and it just makes me happy that a lot of people want to hang out with me to. It's always a fun time to go out and get food which is something that I do a lot.,Always remember. You will live. You will love. You will dance again.
"There was an incident with my spouse where he was trying to restrain our dog that recently had surgery when we were going to feed him. Unfortunately, the dog reared his head back and hit my spouse in the mouth and knocked out his dental crown. This situation surprised me and made me anxious/frustrated because my spouse was really upset and now we'd have additional expenses to fix his dental work.","I'm not performing miracles, I'm using up and wasting a lot of paint…"
The work yesterday was different than most of days. I had some issues and the deadline was approaching. I almost missed it. Luckily I have the best co-workers that helped me out before I have asked for any help.,"There is nothing that can take the pain away. But eventually you will find a way to live with it. There will be nightmares. And every day when you wake up, it will be the first thing you think about. Until one day, it will be the second thing."
The salient thing i did yesterday was spending time with family. My husband was at home yesterday for two days then he will work again for 5 days. So we always make sure we spend quality time together as a family when he is at home.,"(on ""I Don't Get Down Like That"" the Swedish group Play pop song) There comes a day when you realise turning the page is the best feeling in the world, because you realise there is so much more to the book than the page you were stuck on."
The night before last i.e. yesterday morning I slept for over 10 hours straight which is not normally a thing I ever do like ever. Unfortunately I felt like absolute crap as the result of having caught something most likely the flu so I did not feel great at all in fact I felt like total crap. Cough crap in my throat crap in my lungs the whole bit. I was a bit worried I was going to wake up feeling way sicker but that didn't stop the fact that I absolutely needed to crash at like 8 PM. So I did. Woke up feeling sooo much more refreshed. Still sick but not nearly as bad. 10 hours of sleep was what I needed I guess. Still sick though.,I like roses best. But they bloom in all four seasons. I wonder if people who like roses best have to die four times over again.
"The most salient thing yesterday was relationship to my family. I talked to my daughter in the morning, to my son in the afternoon, and spent all day with my wife. I had a very enjoyable wonderful day.","My daughter was asked by a little old lady in a London hotel restaurant what her daddy did. She answered, “He’s a pirate” - I was very proud of that answer."
The most salient thing I felt yesterday was loving life. I for the most part feel blessed in all that I have accomplished in life and am very grateful,Love is not what you do. Love is what you are.
The most salient thing from yesterday was my 8-mile hike. I had the day off work so I decided to hit the hiking trails in my town. I spent a few hours hiking 8 miles in the Ozark Mountains. The day was warm and beautiful. Feeling the sun on my back felt good.,"It’s always wonderful to get to know women, with the mystery and the joy and the depth. If you can make a woman laugh, you’re seeing the most beautiful thing on God’s Earth."
"The most salient thing from yesterday was how we are a family (wife and 3 kids) but as of recent we have been very distant from each other so the household is cold and callous. Just last month our house was loud and boisterous, now its silent and uncomfortable.","Each time we don't say what we wanna say, we're dying."
"The most salient thing about my day yesterday was recreation, or maybe I should say, the lack thereof. I was so distracted and bored yesterday, I couldn't find anything to keep myself occupied with all day long. I was antsy most of the day and it was entirely frustrating. I tried to talk to a few friends about it, maybe make some plans to do something, but they were all otherwise engaged for the day, which made it even more frustrating. I really need to calm my mind so I can focus on something, get immersed in it. That'll help the anxiety and the boredom.","My unhappiness was the unhappiness of a person who could not say no. I had been intimidated by the fear that if I declined something offered me, a yawning crevice would open between the other person's heart and myself which could never be mended through all eternity."
"The most noticeable and important thing in my life yesterday was the reconciliation with my ex-partner. We officially became a couple and spent a lot of time together becoming closer, and sharing our thoughts and ideas, and taking care of one another. I felt happy and hopeful that this time everything would work out for the best.",The first true love is always the last one.
The most important thing in my life is always God or my salvation. It makes me feel calm or at peace knowing no matter what life throws at me he is on the throne fighting my battles for me and I am going to be okay,"Whatever you do, make sure that you have those things that money can't buy"
THE MARKETING TEAM MET TO REVIEW AND REVISE OUR MARKETING PROGRAM FOR THE COMPANY. THE PROGRESS WE MADE WAS EXCLENT AND I AM PROUD BEING THE LEADER OF THIS TEAM.,"Coming together is a beginning, staying together is progress, and working together is success."
The kids had a half day at school and went for a hang out at different friend's homes.  I picked them up after work and both friends are from affluent families - we are not and the process of entering large mansions and speaking with the other parents makes me a bit anxious.,"I am more worried about being a good person than being the best football player in the world. When all this is over, what are you left with? "
The food was wonderful.  it was Chinese food from the local restaurant.  i had chicken teriaki french fries and sauteed brocolli in a lovely sauce.  the meat was sp juicy and moist.  the fries were to golden perfection and the sauce on the brocolli was outstanding.  i was so satisfied and sated afterward.  it made my day complete.,"Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time."
the food I made was good and made me happy and enjoy my day,"The truth is, indeed, that love is the threshold of another universe."
The day was great and I wish it would never end.  Life couldn't be any better.,Let the beauty of what you love be what you do.
The answers in the Bible are God speaking to me which gives me directioncomfort joyhappinesspeace goodnessgentlenessmeeknesstemperance,"If we would despise the enemy, our thoughts must always be of God and our souls always glad with hope."
That small things dont matter. That you should be thankful for the person that loves you and that you love.,"When you feel the last bit of breath leaving their body, you're looking into their eyes. A person in that situation is God!"
Taking care of my family especially my kids is the most important responsibility I do. It brings me joy and happiness being able to spend time with my family.,"I must have flowers, always, and always."
Spending time with my wife after work is most precious event of the day. Making our dinner together and catching up on things with my wife during cooking a meal is precious and fun way to spend time together.,"My daughter was asked by a little old lady in a London hotel restaurant what her daddy did. She answered, “He’s a pirate” - I was very proud of that answer."
Spending time with my family meaning my spouse and children gives me so much joy. Being older and having young chilldren gives me an appreciation of every moment with them. It has also given me a real focus on what is important. I never want to be a disappointment to them but instead be an example.,The first true love is always the last one.
"Spending time with my family makes me happy, I am so grateful for them. I feel lucky to have been so blessed.",Take a lover who looks at you like maybe you are magic.
spending time with my family is what I do everyday. its something that makes me really happy,In my first video diary I explained my love for women who have a taste in carrots.
Spending time with my daughter and my husband was the most salient thing I did yesterday.  I was out of town for the weekend and was very excited to have some time to catch up with them and just hang out and relax together.,"People are just as wonderful as sunsets if I can let them be… When I look at a sunset, I don’t find myself saying, ""Soften the orange a bit on the right hand corner""… I don’t try to control a sunset. I watch with awe as it unfolds."
"So I helped my Aunt move some things out of my friends house on quite short notice, and the overall sense I had after the task was done was that I felt very reliable. I was pleased that I could be so useful and reliable as a source of free labor, and that I was willing to help a stranger with no questions asked.","Struck intensely tonight by the thought that we live in a great age. We can make music, food, pictures, art, & love with unbelievable unprecedented freedom. It's all there, there for the taking & the making, all the time."
Sleep is an important part of my day because it is important to my health well being and my daily funtioning. I was very tired yesterday and I fell asleep earlier than I had planned. I was planning to wake up to watch something but I fell back asleep. I was awoken again a little while later with serious pain in my one eye. At times my eyes can be sensitive when I have a cold settle in one or both of them. Two more times I was woken up by the eye pain. It was bad and I was super tired. So I got to go back to sleep for a little while longer.,"The least I can do is speak out for the hundreds of chimpanzees who, right now, sit hunched, miserable and without hope, staring out with dead eyes from their metal prisons. They cannot speak for themselves."
"seeing them happy makes me happy, the do everything in their power to make me happy also and we live as one, shared most of the things we have together, always there for ourselvea",You know you're in love when you can't fall asleep because reality is finally better than your dreams.
One of my friends came back from Spain he was getting his masters degree and a bunch of friends gathered to meet him. It was a really cool experience because I got to catch up with many of my friends.,We will rock you
"Once again I was reminded of how awesome my wife is. She surprised me after work with a special whiskey tasting for Macallan scotch. It lasted two hours, with live music and of course lots of great whiskey.","That was a great time, the summer of '71 - I can't remember it, but I'll never forget it!"
"My work yesterday involved working around the yard, mowing, trimming branches and bushes, sweeping the walk and patio and finally cleaning and refillling all of the bird feeders.  It is very enjoyable work for me.  I love being outdoors.  It's also exercise as I built up a sweat once or twice.  When I was through, it looked and felt like a good accomplishment.  The yard looks great and our curb appeal is really good.","Life is a song - sing it.
Life is a game - play it.
Life is a challenge - meet it.
Life is a dream - realize it.
Life is a sacrifice - offer it.
Life is love - enjoy it."
My work is what keeps me going. It makes me useful  providing a platform for me to offer my services.,The only person who is educated is the one who has learned how to learn and change.
My work is something that I have to do in order to enjoy life and allow other things to prosper. I feel good about the outcome.,You never know how strong you can be until being strong is the only choice you have left.
"My work is salient on most days. I feel happy, proud, and satisfied. My job is very important to me, and I feel very positive about my job.","I am not well read, but when I do read, I read well."
my work is important and noticeable but extremely boring.   I would like a different job but it does pay the bills and gives me less headaches than other jobs.,"I never cared about the money, that's not why I started acting, and I never liked the fame. The paparazzi culture is more pervasive than it used to be, kind of: 'Let's watch the actor pump gas.' It's nice not to have to worry about bills, though.
It's a cliche that money doesn't buy you happiness, but it does buy you the freedom to live your life the way you want."
My wife is the most important thing in my life.  When I get home it is her smiling face that makes me glad I am alive.,They laugh at me because I'm different; I laugh at them because they're all the same.
My wife has 4th stage cancer and is going through chemo every 3 weeks.  In the 2nd week after the last chemo treatment she is her normal self and able  to cook.  So yesterday for dinner we had a good cooked meal that was delicious as she knows how to cook and it also was a sign of some normalcy coming back for her in her life.,"Live simply, love generously, care deeply, speak kindly, leave the rest to God."
My wife and I took our 2 year old son to the park. Him and I went on the swings together and went down the slide. It sounds really simple and may be boring to some but he was so exited to be there. Seeing his little face light up like that makes me feel so happy.,The noblest art is that of making others happy
My wife and I made a pot of chili with venison spicy sausage. It was the perfect meal for a crisp evening. Some of the best chili I ever had.,"It’s always wonderful to get to know women, with the mystery and the joy and the depth. If you can make a woman laugh, you’re seeing the most beautiful thing on God’s Earth."
"My spouse woke me up with a surprise breakfast in bed since we were taking the morning off and then we spent time cuddling in bed together. Our ""date night"" was seeing a horror movie together in the early afternoon and we spent time holding hands, watching a movie, and then we went out to a late lunch. I felt so lucky and so thrilled to be able to spend the morning with the most amazing person in my life. My best friend and spouse makes me feel loved and I spent the day feeling so content and giddy, just like when we were in high school. I had an amazing morning filled with love and laughter!","I think everything in life is art. What you do. How you dress. The way you love someone, and how you talk. Your smile and your personality. What you believe in, and all your dreams. The way you drink your tea, How you decorate your home. Or party. Your grocery list. The food you make. How your writing looks. And the way you feel. Life is art."
My son's girlfriend stayed home from work today. She was acting odd all day. I could tell something was wrong but did not know what.  My husband came home from work later and he was focused on his friends at work. He didn't want to talk about the kids or anything.  I felt alone and sad.  Basically I felt invisible.,"If a man knows more than others, he becomes lonely."
My son was sent home from school yesterday throwing up. It made me anxious and worried because he's nonverbal and can't tell me what's going on.,"Hey guys, sorry I'm late, I'm afraid I got lost on the path of life."
My son received early admission to the college of his choice today! In addition he received a scholarship!,"I never said to be like me, I say to be like you and make a difference."
My sister's 29th birthday also 8 yeas sober for her.,Tell the sun and stars hello for me.
My partner surprised me today. She stayed home from work and we spent the whole day together. It was so wonderful and special.,"One love, one heart,
Let's get together and feel alright."
My parents both helped me out big time with the house that myself and my wife just bought.  they have watched our son and helped wit the work quite a bit.  I am very thankful for them.,Overcome the devils with a thing called love.
My parents are planning to sell their house so yesterday they were talking to their realtor. I was helping out my parents cleaning the house to make sure that it looks its best.,"Looking back on each element, the absence of the audience this time meant that it was difficult to make that connection [with the crowd], but there are a lot of movements in the choreography that try to speak to the audience, so I think that’s also a key appeal for this program."
My oldest daughter told me she was moving closer to where i live. It made me happy to know I'd get to see her more often now.,We accept the love we think we deserve.
